iter	Passed	Remaining
839	3033	577
840	3037	574
841	3040	570
842	3043	566
843	3048	563
844	3051	559
845	3054	555
846	3057	552
847	3061	548
848	3064	545
849	3067	541
850	3070	537
851	3073	533
852	3077	530
853	3081	526
854	3084	523
855	3087	519
856	3090	515
857	3094	512
858	3097	508
859	3100	504
860	3103	501
861	3109	497
862	3112	494
863	3115	490
864	3118	486
865	3121	483
866	3126	479
867	3130	476
868	3133	472
869	3135	468
870	3142	465
871	3144	461
872	3147	457
873	3150	454
874	3155	450
875	3158	447
876	3161	443
877	3164	439
878	3167	436
879	3172	432
880	3175	428
881	3178	425
882	3182	421
883	3187	418
884	3190	414
885	3193	410
886	3196	407
887	3201	403
888	3205	400
889	3209	396
890	3215	393
891	3219	389
892	3221	386
893	3224	382
894	3227	378
895	3231	375
896	3236	371
897	3239	367
898	3242	364
899	3246	360
900	3250	357
901	3253	353
902	3257	349
903	3261	346
904	3265	342
905	3268	339
906	3271	335
907	3274	331
908	3278	328
909	3281	324
910	3284	320
911	3287	317
912	3290	313
913	3295	310
914	3298	306
915	3301	302
916	3307	299
917	3311	295
918	3314	292
919	3317	288
920	3320	284
921	3324	281
922	3328	277
923	3331	274
924	3334	270
925	3339	266
926	3342	263
927	3345	259
928	3347	255
929	3350	252
930	3355	248
931	3358	245
932	3361	241
933	3364	237
934	3367	234
935	3373	230
936	3376	226
937	3378	223
938	3381	219
939	3387	216
940	3391	212
941	3394	209
942	3398	205
943	3403	201
944	3406	198
945	3409	194
946	3412	190
947	3416	187
948	3420	183
949	3423	180
950	3425	176
951	3428	172
952	3433	169
953	3436	165
954	3438	162
955	3441	158
956	3444	154
957	3448	151
958	3451	147
959	3454	143
960	3457	140
961	3460	136
962	3464	133
963	3467	129
964	3470	125
965	3472	122
966	3475	118
967	3481	115
968	3484	111
969	3487	107
970	3489	104
971	3493	100
972	3497	97
973	3499	93
974	3502	89
975	3505	86
976	3510	82
977	3513	79
978	3516	75
979	3519	71
980	3521	68
981	3526	64
982	3529	61
983	3532	57
984	3534	53
985	3538	50
986	3541	46
987	3545	43
988	3547	39
989	3550	35
990	3553	32
991	3557	28
992	3560	25
993	3564	21
994	3567	17
995	3570	14
996	3574	10
997	3577	7
998	3581	3
999	3585	0
